"","Year","County","NumZeroDays"
"563",1982,"F13253",95
"564",1982,"F13255",112
"565",1982,"F13257",104
"566",1982,"F13259",102
"567",1982,"F13261",97
"568",1982,"F13263",107
"569",1982,"F13265",110
"570",1982,"F13267",88
"571",1982,"F13269",103
"572",1982,"F13271",86
"573",1982,"F13273",103
"574",1982,"F13275",100
"575",1982,"F13277",106
"576",1982,"F13279",90
"577",1982,"F13281",88
"578",1982,"F13283",106
"579",1982,"F13285",103
"580",1982,"F13287",99
"581",1982,"F13289",106
"582",1982,"F13291",96
"583",1982,"F13293",114
"584",1982,"F13295",101
"585",1982,"F13297",113
"586",1982,"F13299",79
"587",1982,"F13301",107
"588",1982,"F13303",102
"589",1982,"F13305",82
"590",1982,"F13307",107
"591",1982,"F13309",96
"592",1982,"F13311",103
"593",1982,"F13313",103
"594",1982,"F13315",99
"595",1982,"F13317",111
"596",1982,"F13319",106
"597",1982,"F13321",91
"598",1982,"F37001",94
"599",1982,"F37003",90
"600",1982,"F37005",84
"601",1982,"F37007",95
"602",1982,"F37009",84
"603",1982,"F37011",81
"604",1982,"F37013",103
"605",1982,"F37015",106
"606",1982,"F37017",97
"607",1982,"F37019",85
"608",1982,"F37021",85
"609",1982,"F37023",88
"610",1982,"F37025",104
"611",1982,"F37027",83
"612",1982,"F37029",110
"613",1982,"F37031",110
"614",1982,"F37033",105
"615",1982,"F37035",98
"616",1982,"F37037",81
"617",1982,"F37039",87
"618",1982,"F37041",116
"619",1982,"F37043",82
"620",1982,"F37045",94
"621",1982,"F37047",94
"622",1982,"F37049",103
"623",1982,"F37051",95
"624",1982,"F37053",112
"625",1982,"F37055",109
"626",1982,"F37057",103
"627",1982,"F37059",107
"628",1982,"F37061",98
"629",1982,"F37063",90
"630",1982,"F37065",110
"631",1982,"F37067",100
"632",1982,"F37069",95
"633",1982,"F37071",97
"634",1982,"F37073",111
"635",1982,"F37075",81
"636",1982,"F37077",88
"637",1982,"F37079",106
"638",1982,"F37081",102
"639",1982,"F37083",105
"640",1982,"F37085",95
"641",1982,"F37087",85
"642",1982,"F37089",79
"643",1982,"F37091",106
"644",1982,"F37093",90
"645",1982,"F37095",105
"646",1982,"F37097",89
"647",1982,"F37099",82
"648",1982,"F37101",97
"649",1982,"F37103",111
"650",1982,"F37105",103
"651",1982,"F37107",112
"652",1982,"F37109",96
"653",1982,"F37111",91
"654",1982,"F37113",79
"655",1982,"F37115",88
"656",1982,"F37117",101
"657",1982,"F37119",98
"658",1982,"F37121",83
"659",1982,"F37123",89
"660",1982,"F37125",86
"661",1982,"F37127",105
"662",1982,"F37129",101
"663",1982,"F37131",101
"664",1982,"F37133",102
"665",1982,"F37135",102
"666",1982,"F37137",109
"667",1982,"F37139",113
"668",1982,"F37141",100
"669",1982,"F37143",112
"670",1982,"F37145",111
"671",1982,"F37147",102
"672",1982,"F37149",87
"673",1982,"F37151",92
"674",1982,"F37153",96
"675",1982,"F37155",85
"676",1982,"F37157",102
"677",1982,"F37159",104
"678",1982,"F37161",88
"679",1982,"F37163",97
"680",1982,"F37165",98
"681",1982,"F37167",104
"682",1982,"F37169",98
"683",1982,"F37171",86
"684",1982,"F37173",83
"685",1982,"F37175",78
"686",1982,"F37177",105
"687",1982,"F37179",97
"688",1982,"F37181",100
"689",1982,"F37183",90
"690",1982,"F37185",101
"691",1982,"F37187",105
"692",1982,"F37189",80
"693",1982,"F37191",94
"694",1982,"F37193",83
"695",1982,"F37195",107
"696",1982,"F37197",98
"697",1982,"F37199",87
"698",1982,"F45001",101
"699",1982,"F45003",83
"700",1982,"F45005",100
"701",1982,"F45007",102
"702",1982,"F45009",93
"703",1982,"F45011",95
"704",1982,"F45013",91
"705",1982,"F45015",77
"706",1982,"F45017",85
