"","Year","County","NumDays"
"531",1982,"F37133",6
"532",1982,"F37135",11
"533",1982,"F37137",7
"534",1982,"F37139",11
"535",1982,"F37141",7
"536",1982,"F37143",12
"537",1982,"F37145",12
"538",1982,"F37147",10
"539",1982,"F37149",8
"540",1982,"F37151",10
"541",1982,"F37153",5
"542",1982,"F37155",9
"543",1982,"F37157",12
"544",1982,"F37159",11
"545",1982,"F37161",9
"546",1982,"F37163",9
"547",1982,"F37165",5
"548",1982,"F37167",9
"549",1982,"F37169",10
"550",1982,"F37171",10
"551",1982,"F37173",11
"552",1982,"F37175",10
"553",1982,"F37177",7
"554",1982,"F37179",8
"555",1982,"F37181",9
"556",1982,"F37183",7
"557",1982,"F37185",8
"558",1982,"F37187",6
"559",1982,"F37189",10
"560",1982,"F37191",9
"561",1982,"F37193",10
"562",1982,"F37195",9
"563",1982,"F37197",10
"564",1982,"F37199",10
"565",1982,"F45001",6
"566",1982,"F45003",3
"567",1982,"F45005",6
"568",1982,"F45007",9
"569",1982,"F45009",4
"570",1982,"F45011",3
"571",1982,"F45013",12
"572",1982,"F45015",8
"573",1982,"F45017",4
"574",1982,"F45019",9
"575",1982,"F45021",7
"576",1982,"F45023",10
"577",1982,"F45025",8
"578",1982,"F45027",6
"579",1982,"F45029",7
"580",1982,"F45031",8
"581",1982,"F45033",8
"582",1982,"F45035",6
"583",1982,"F45037",4
"584",1982,"F45039",7
"585",1982,"F45041",7
"586",1982,"F45043",11
"587",1982,"F45045",11
"588",1982,"F45047",6
"589",1982,"F45049",6
"590",1982,"F45051",7
"591",1982,"F45053",9
"592",1982,"F45055",10
"593",1982,"F45057",9
"594",1982,"F45059",6
"595",1982,"F45061",9
"596",1982,"F45063",3
"597",1982,"F45065",6
"598",1982,"F45067",8
"599",1982,"F45069",7
"600",1982,"F45071",11
"601",1982,"F45073",9
"602",1982,"F45075",3
"603",1982,"F45077",11
"604",1982,"F45079",9
"605",1982,"F45081",7
"606",1982,"F45083",7
"607",1982,"F45085",7
"608",1982,"F45087",9
"609",1982,"F45089",7
"610",1982,"F45091",9
"611",1983,"F13001",5
"612",1983,"F13003",4
"613",1983,"F13005",4
"614",1983,"F13007",12
"615",1983,"F13009",4
"616",1983,"F13011",4
"617",1983,"F13013",4
"618",1983,"F13015",6
"619",1983,"F13017",7
"620",1983,"F13019",8
"621",1983,"F13021",7
"622",1983,"F13023",6
"623",1983,"F13025",7
"624",1983,"F13027",12
"625",1983,"F13029",5
"626",1983,"F13031",7
"627",1983,"F13033",8
"628",1983,"F13035",8
"629",1983,"F13037",10
"630",1983,"F13039",3
"631",1983,"F13043",4
"632",1983,"F13045",5
"633",1983,"F13047",6
"634",1983,"F13049",9
"635",1983,"F13051",6
"636",1983,"F13053",6
"637",1983,"F13055",10
"638",1983,"F13057",8
"639",1983,"F13059",2
"640",1983,"F13061",12
"641",1983,"F13063",5
"642",1983,"F13065",7
"643",1983,"F13067",9
"644",1983,"F13069",6
"645",1983,"F13071",9
"646",1983,"F13073",4
"647",1983,"F13075",10
"648",1983,"F13077",3
"649",1983,"F13079",5
"650",1983,"F13081",7
"651",1983,"F13083",10
"652",1983,"F13085",7
"653",1983,"F13087",11
"654",1983,"F13089",6
"655",1983,"F13091",9
"656",1983,"F13093",7
"657",1983,"F13095",10
"658",1983,"F13097",5
"659",1983,"F13099",11
"660",1983,"F13101",10
"661",1983,"F13103",6
"662",1983,"F13105",1
"663",1983,"F13107",7
"664",1983,"F13109",2
"665",1983,"F13111",11
"666",1983,"F13113",3
"667",1983,"F13115",9
"668",1983,"F13117",6
